Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.01568,-0.025,0.010344,0,0,0,0.45982,0.0010083,8.0358E-21,0.00032972,0.0016051,-6.0655E-20,0.0007626,0,0,0,0,0,0,package://atom_discription/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://atom_discription/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0023923,-0.015614,0.025,0,0,0,0.19972,0.00029162,-3.0395E-05,1.249E-20,9.7898E-05,2.6007E-20,0.00032351,0,0,0,0,0,0,package://atom_discription/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://atom_discription/meshes/link1.STL,,Part2-1,base_link_cs <Part1-1>,base_link_axis <Part1-1>,joint1,revolute,-0.145,-0.025,0.0560748943460099,1.5707963267949,0,1.5707963267949,base_link,0,0,1,100,1,-6.282,6.282,,,,,,,,
link2,-0.02953,-0.06079,0.025,0,0,0,0.49696,0.0014939,-0.00060874,1.3331E-19,0.00053645,4.3368E-19,0.0018168,0,0,0,0,0,0,package://atom_discription/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://atom_discription/meshes/link2.STL,,Part3-1,link1_cs <Part2-1>,link1_axis <Part2-1>,joint2,revolute,-0.0159020474196779,-0.103788847608316,0.025,1.41876324910506,-1.5707963267949,0,link1,0,0,1,100,1,-6.282,6.282,,,,,,,,
link3,2.7756E-17,0,-0.052549,0,0,0,0.34603,0.00055522,0.00020044,-2.9561E-19,0.00026944,5.8953E-19,0.00064824,0,0,0,0,0,0,package://atom_discription/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://atom_discription/meshes/link3.STL,,Part4-1,link2_cs <Part3-1>,link2_axis <Part3-1>,joint3,revolute,-0.0633572565658469,-0.130425680141794,0.025,1.11859506665141,1.5707963267949,0,link2,0,0,1,40,1,-6.282,6.282,,,,,,,,
link4,-0.08891,-0.11217,0.1,0,0,0,2.6776,0.016579,-0.0060285,-6.5052E-18,0.013752,-3.5237E-19,0.015281,0,0,0,0,0,0,package://atom_discription/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://atom_discription/meshes/link4.STL,,Part5-1,link3_cs <Part4-1>,link3_axis <Part4-1>,joint4,revolute,-0.045799573356041,0.0888954390303834,-0.0550000000000005,1.0950570748123,-1.5707963267949,0,link3,0,0,1,40,1,-6.282,6.282,,,,,,,,
